"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01087799999","2020-01-01","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  45.1","24","  40.5","24","9999.9"," 0","999.9"," 0","  6.2","24"," 27.7","24"," 40.0","999.9","  46.4","*","  44.6","*"," 0.00","I","999.9","000000"
"01087799999","2020-01-02","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  46.0","24","  42.8","24","9999.9"," 0","999.9"," 0","  4.0","24"," 41.7","24"," 46.0","999.9","  48.2","*","  41.0","*","99.99"," ","999.9","011000"
"01087799999","2020-01-03","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  39.1","24","  28.1","24","9999.9"," 0","999.9"," 0","  5.8","24"," 41.8","24"," 61.0"," 75.0","  44.6","*","  33.8","*","99.99"," ","999.9","011000"
"01087799999","2020-01-04","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  39.2","24","  26.4","24","9999.9"," 0","999.9"," 0","  6.2","24"," 27.7","24"," 45.1"," 54.0","  41.0","*","  35.6","*","99.99"," ","999.9","010000"
"01087799999","2020-01-05","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  45.1","24","  43.3","24","9999.9"," 0","999.9"," 0","  2.7","24"," 31.3","24"," 40.0","999.9","  48.2","*","  39.2","*","99.99"," ","999.9","111000"
"01087799999","2020-01-06","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  45.7","24","  43.8","24","9999.9"," 0","999.9"," 0","  3.8","24"," 34.0","24"," 49.0","999.9","  46.4","*","  44.6","*","99.99"," ","999.9","010000"
"01087799999","2020-01-07","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  46.5","24","  42.0","24","9999.9"," 0","999.9"," 0","  4.3","24"," 39.7","24"," 53.0"," 67.0","  50.0","*","  44.6","*","99.99"," ","999.9","010000"
"01087799999","2020-01-08","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  43.6","24","  34.6","24","9999.9"," 0","999.9"," 0","  5.4","24"," 41.4","24"," 51.1"," 65.1","  50.0","*","  41.0","*","99.99"," ","999.9","010000"
"01087799999","2020-01-09","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  42.6","24","  34.2","24","9999.9"," 0","999.9"," 0","  6.1","24"," 12.7","24"," 24.1","999.9","  44.6","*","  41.0","*","99.99"," ","999.9","011000"
"01087799999","2020-01-10","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  44.2","24","  34.8","24","9999.9"," 0","999.9"," 0","  6.2","24"," 21.8","24"," 53.0"," 62.0","  44.6","*","  42.8","*","99.99"," ","999.9","010000"
"01087799999","2020-01-11","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  45.5","23","  41.5","23","9999.9"," 0","999.9"," 0","  3.6","23"," 40.0","23"," 55.0"," 65.1","  48.2","*","  42.8","*","99.99"," ","999.9","010000"
"01087799999","2020-01-12","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  41.9","24","  33.6","24","9999.9"," 0","999.9"," 0","  5.6","24"," 36.5","24"," 46.0"," 58.1","  44.6","*","  37.4","*","99.99"," ","999.9","010000"
"01087799999","2020-01-13","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  44.1","23","  35.2","23","9999.9"," 0","999.9"," 0","  5.8","23"," 42.4","23"," 62.9"," 75.0","  44.6","*","  41.0","*","99.99"," ","999.9","010000"
"01087799999","2020-01-14","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  44.1","24","  36.4","24","9999.9"," 0","999.9"," 0","  5.4","24"," 40.0","24"," 63.9"," 73.0","  46.4","*","  37.4","*","99.99"," ","999.9","011000"
"01087799999","2020-01-15","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  43.7","22","  35.6","22","9999.9"," 0","999.9"," 0","  5.6","22"," 36.9","22"," 47.0"," 53.0","  46.4","*","  37.4","*","99.99"," ","999.9","010000"
